ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
23911,JB238145,04/25/2018 10:10:00 PM,060XX S SACRAMENTO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0823,008,16,66,01A,1157414,1864538,2018,05/02/2018 03:52:47 PM,41.784050587,-87.698406075,"(41.784050587, -87.698406075)"
23912,JB239077,04/26/2018 05:50:00 PM,015XX N WASHTENAW AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1423,014,26,24,01A,1158138,1910031,2018,05/03/2018 03:52:17 PM,41.908873745,-87.694510874,"(41.908873745, -87.694510874)"
23913,JB239091,04/26/2018 05:57:00 PM,043XX W ADAMS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1115,011,28,26,01A,1147538,1898660,2018,05/03/2018 03:52:17 PM,41.877880513,-87.733742492,"(41.877880513, -87.733742492)"
11253846,JB181529,03/11/2018 04:25:00 AM,007XX W 69TH ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,false,false,0723,007,6,68,01B,1172639,1859122,2018,05/04/2018 03:51:04 PM,41.768866386,-87.642744939,"(41.768866386, -87.642744939)"
23993,JB303195,06/12/2018 03:04:00 AM,000XX E MARQUETTE RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0322,003,20,69,01A,1178186,1860616,2018,06/19/2018 03:56:32 PM,41.772842064,-87.6223672,"(41.772842064, -87.6223672)"
23995,JB303350,06/12/2018 08:41:00 AM,000XX W 104TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,false,false,0512,005,34,49,01A,1177863,1835679,2018,06/19/2018 03:56:32 PM,41.704419193,-87.624304349,"(41.704419193, -87.624304349)"
11286359,JB221903,04/13/2018 01:57:09 AM,031XX W DEVON AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,false,false,2413,024,50,2,01B,1154040,1942262,2018,05/04/2018 03:51:04 PM,41.997400551,-87.708702095,"(41.997400551, -87.708702095)"
23915,JB240350,04/27/2018 05:04:00 PM,083XX S MARSHFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0614,006,18,71,01A,1166792,1849470,2018,05/04/2018 03:59:15 PM,41.742506796,-87.664452263,"(41.742506796, -87.664452263)"
23914,JB239602,04/27/2018 03:02:00 AM,006XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,0711,007,16,68,01A,1173047,1863112,2018,05/31/2018 03:54:28 PM,41.779806409,-87.641131698,"(41.779806409, -87.641131698)"
23916,JB242283,04/29/2018 08:06:00 AM,048XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1533,015,28,25,01A,1144208,1899225,2018,05/24/2018 03:53:38 PM,41.879494129,-87.745955373,"(41.879494129, -87.745955373)"
23917,JB243882,04/30/2018 01:48:00 PM,013XX W 13TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1233,012,2,28,01A,1167742,1894186,2018,05/07/2018 04:03:09 PM,41.865192223,-87.659687336,"(41.865192223, -87.659687336)"
23918,JB246144,05/01/2018 10:22:00 PM,048XX W WASHINGTON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1533,015,28,25,01A,1144170,1900068,2018,05/08/2018 03:56:32 PM,41.881808137,-87.746073724,"(41.881808137, -87.746073724)"
23919,JB246307,05/02/2018 03:41:00 AM,053XX S SHORE DR,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0234,002,5,41,01A,1189028,1870341,2018,05/09/2018 03:51:40 PM,41.799275367,-87.582312425,"(41.799275367, -87.582312425)"
23921,JB248276,05/03/2018 01:51:00 PM,081XX S CORNELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0414,004,8,45,01A,1188683,1851288,2018,05/10/2018 03:48:24 PM,41.74700064,-87.584186242,"(41.74700064, -87.584186242)"
23920,JB247606,05/03/2018 03:56:00 AM,035XX W GRENSHAW ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1133,011,24,29,01A,1153005,1894831,2018,06/09/2018 03:47:56 PM,41.867266762,-87.713770352,"(41.867266762, -87.713770352)"
23922,JB250328,05/04/2018 09:35:00 PM,117XX S NORMAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0524,005,34,53,01A,1175077,1827041,2018,05/11/2018 03:53:11 PM,41.680777707,-87.634762732,"(41.680777707, -87.634762732)"
23923,JB252004,05/06/2018 03:34:00 AM,022XX S HOYNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1034,010,25,31,01A,1162715,1889218,2018,05/13/2018 03:47:40 PM,41.851666314,-87.678280698,"(41.851666314, -87.678280698)"
23924,JB252053,05/06/2018 05:16:00 AM,087XX S HALSTED ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2223,022,21,71,01A,1172507,1846861,2018,05/13/2018 03:47:40 PM,41.735223542,-87.643589082,"(41.735223542, -87.643589082)"
23925,JB252885,05/06/2018 09:49:00 PM,024XX E 78TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0421,004,7,43,01A,1194131,1853732,2018,05/13/2018 03:47:40 PM,41.753575278,-87.564143634,"(41.753575278, -87.564143634)"
23926,JB252992,05/06/2018 11:56:00 PM,031XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,011,28,27,01A,1155456,1899850,2018,05/13/2018 03:47:40 PM,41.880990522,-87.70463737,"(41.880990522, -87.70463737)"
23927,JB251220,05/07/2018 12:19:00 PM,037XX W ROOSEVELT RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1011,010,24,29,01A,1151592,1894452,2018,05/14/2018 03:52:59 PM,41.86625461,-87.718967674,"(41.86625461, -87.718967674)"
23928,JB253936,05/07/2018 05:00:00 PM,032XX W WALNUT ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1123,011,28,27,01A,1154762,1901446,2018,05/14/2018 03:52:59 PM,41.885384029,-87.70714294,"(41.885384029, -87.70714294)"
23929,JB255169,05/08/2018 03:41:00 PM,066XX S JUSTINE ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0725,007,17,67,01A,1167151,1860645,2018,05/15/2018 03:55:49 PM,41.773164853,-87.662817746,"(41.773164853, -87.662817746)"
23930,JB255779,05/08/2018 09:04:00 PM,061XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0712,007,16,68,01A,1169371,1864116,2018,05/15/2018 03:55:49 PM,41.782641916,-87.654579337,"(41.782641916, -87.654579337)"
23931,JB255764,05/08/2018 09:21:00 PM,069XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0733,007,17,68,01A,1170513,1858727,2018,05/15/2018 03:55:49 PM,41.767829035,-87.650549297,"(41.767829035, -87.650549297)"
23932,JB255834,05/08/2018 10:02:00 PM,022XX S KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1013,010,22,29,01A,1148292,1888825,2018,05/15/2018 03:55:49 PM,41.850877591,-87.731227235,"(41.850877591, -87.731227235)"
23933,JB260180,05/11/2018 11:17:00 PM,001XX S ALBANY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,011,28,27,01A,1155927,1899255,2018,05/18/2018 03:52:39 PM,41.879348302,-87.702923931,"(41.879348302, -87.702923931)"
